Place,Lat,Lon,Altitude_in_ft,Altitide_in_mt
Wadgaon,19.58,74.28,1824,552.73
Wadgaon,18.73,73.65,2125,643.94
Wadgaon,16.85,74.32,1833,555.45
Wadgaon,18.13,74.37,1784,540.61
Wadhiware,19.87,73.67,2027,614.24
Wadhona,20.98,78.35,1200,363.64
Wadhona,18.52,77.08,1692,512.73
Wadjhire,19.02,74.33,2240,678.79
Wadki,20.28,78.72,721,218.48
Wadner,20.85,76.33,853,258.48
Wadner,20.45,78.73,803,243.33
Wadner,21.05,77.18,1046,316.97
Wadnera,20.45,78.73,803,243.33
Wadwani,18.98,76.05,1568,475.15
Wafgaon,18.88,73.98,2322,703.64
Wagdari,17.63,76.37,1778,538.79
Wagholi,17.90,74.08,2637,799.09
Waghrul,19.95,75.97,1916,580.61
Wahegaon,19.77,75.68,1571,476.06
Wai,17.93,73.90,2355,713.64
Waigaon,20.63,78.60,820,248.48
Wairagarh,20.42,80.10,741,224.55
Wakad,20.03,76.68,1722,521.82
Waki,18.52,73.52,2165,656.06
Walgaon,21.01,77.70,994,301.21
Walki,18.95,74.75,2158,653.94
Walsang,17.60,76.08,1584,480.00
Waluj,19.80,75.23,1630,493.94
Waluj,19.80,75.23,1630,493.94
Walur,19.50,76.57,1397,423.33
Walwad,18.45,75.53,1870,566.67
Walāndi,18.23,76.97,1925,583.33
Wamanpalli,19.57,79.53,577,174.85
Wangepalli,19.42,79.98,416,126.06
Wani,20.07,78.95,748,226.67
Wanlesswadi,17.68,74.03,2158,653.94
Wanwas,17.68,74.03,2158,653.94
Wardha,20.33,80.10,767,232.42
Wardha,20.75,78.62,941,285.15
Wardhangarh,17.73,74.25,2673,810.00
Wardhangarth,17.73,74.25,2673,810.00
Warhona,19.43,77.88,1325,401.52
Warli,19.02,72.82,32,9.70
Warora,20.23,79.00,692,209.70
Warsa,20.60,79.95,688,208.48
Warsha,20.92,73.98,1932,585.45
Warvad,17.97,75.32,1719,520.91
Warwad,17.97,75.32,1719,520.91
Wasi,18.53,75.78,2362,715.76
Wathar,17.88,74.15,2709,820.91
Welhe,18.30,73.63,2408,729.70
Welhe,18.30,73.63,2408,729.70
Welhe,18.30,73.63,2408,729.70
Wigatpura,19.70,73.55,1922,582.42
Wihamandav,19.45,75.58,1433,434.24
Wihar,20.12,79.92,682,206.67
Wihar,20.12,79.92,682,206.67
Wihigaon,20.60,76.63,1026,310.91
Wirur,19.65,79.45,547,165.76
Worli,19.02,72.82,32,9.70
Wun,20.07,78.95,748,226.67
Wátár,17.88,74.15,2709,820.91
Wādhona,18.52,77.08,1692,512.73
Wādhona,18.53,77.07,1732,524.85
Wāghād,20.23,73.72,2093,634.24
Wālvad,18.62,74.95,2116,641.21
Wāngi,18.18,75.15,1742,527.88
Wāregaon,21.32,79.40,954,289.09
Wāri,19.45,75.72,1394,422.42
Wāshīm,20.10,77.15,1791,542.73
Yadala,19.02,72.85,32,9.70
Yamkanmardi,16.13,74.53,2201,666.97
Yavat,18.47,74.28,1961,594.24
Yavatmāl,20.40,78.13,1459,442.12
Yavluj,16.73,74.13,1893,573.64
Yelamb,18.80,75.83,2299,696.67
Yelaoda,18.53,73.90,1850,560.61
Yelbāra,20.23,78.32,997,302.12
Yeldāri,16.98,75.20,2296,695.76
Yelgaon,17.13,74.03,2162,655.15
Yellabara,20.23,78.32,997,302.12
Yelvan,16.85,73.83,2053,622.12
Yeola,20.03,74.48,1765,534.85
Yeotmāl,20.40,78.13,1459,442.12
Yerandavna,18.50,73.83,1889,572.42
Yerandeshwar,19.85,76.33,1788,541.82
Yerandwane,18.50,73.83,1889,572.42
Yeraoda,18.53,73.90,1850,560.61
Yeravda,18.53,73.90,1850,560.61
Yerli,20.92,76.48,797,241.52
Yermala,18.40,75.87,2299,696.67
Yevale,20.03,74.48,1765,534.85
Yewle,20.03,74.48,1765,534.85
Yusufbadgaon,18.63,76.12,2122,643.03
Yāval,21.17,75.70,646,195.76
Zirad,18.75,72.88,75,22.73
Zīrad,18.75,72.89,127,38.48
hatid,17.28,75.05,1748,529.70
kampti,21.23,79.20,885,268.18
Ïnt,18.62,75.60,2339,708.79
Ādas,18.77,76.23,2326,704.85
Ādoli,18.27,73.77,2109,639.09
Āgargaon,21.08,79.48,790,239.39
Āmbli,18.50,72.96,9,2.73
Āmbād,18.07,75.37,1738,526.67
Āmdāpur,20.40,76.43,1870,566.67
Āndarsul,20.00,74.57,1797,544.55
Āndher,20.15,76.23,1784,540.61
Ānjangaon,20.82,77.78,1141,345.76
Ānjarle,17.85,73.09,36,10.91
Āpta,18.87,73.13,200,60.61
Āpti,18.10,73.75,2201,666.97
Ārangaon,18.67,75.18,1807,547.58
Ārgaon,20.03,73.87,1922,582.42
Ārvi,18.45,74.67,1709,517.88
Āshta,21.28,74.22,948,287.27
Āshti,19.38,76.23,1381,418.48
Āshti,18.82,75.18,1988,602.42
Āshwi,19.52,74.37,1732,524.85
Āsoda,21.03,75.60,662,200.61
